restaurant_id,rest_type
343,Quick Bites
343,Dessert Parlor
344,Casual Dining
345,Beverage Shop
345,Quick Bites
346,Quick Bites
347,Casual Dining
348,Quick Bites
349,Quick Bites
350,Beverage Shop
350,Dessert Parlor
351,Quick Bites
352,Quick Bites
353,Takeaway
354,Cafe
355,Beverage Shop
356,Quick Bites
357,Quick Bites
358,Quick Bites
359,Pub
359,Casual Dining
360,Quick Bites
361,Beverage Shop
361,Quick Bites
362,Quick Bites
363,Quick Bites
364,Quick Bites
365,Quick Bites
366,Quick Bites
367,Quick Bites
368,Quick Bites
369,Quick Bites
370,Quick Bites
371,Quick Bites
372,Quick Bites
373,Quick Bites
374,Quick Bites
375,Casual Dining
376,Sweet Shop
377,Quick Bites
378,Quick Bites
379,Quick Bites
380,Casual Dining
381,Casual Dining
381,Bar
382,Quick Bites
383,Casual Dining
384,Casual Dining
385,Quick Bites
386,Casual Dining
387,Cafe
388,Casual Dining
389,Quick Bites
390,Quick Bites
391,Bakery
392,Sweet Shop
393,Quick Bites
394,Casual Dining
395,Quick Bites
396,Casual Dining
397,Quick Bites
398,Quick Bites
399,Dessert Parlor
399,Beverage Shop
400,Quick Bites
401,Quick Bites
402,Beverage Shop
402,Quick Bites
403,Quick Bites
404,Quick Bites
405,Quick Bites
406,Quick Bites
407,Casual Dining
408,Quick Bites
409,Takeaway
409,Delivery
410,Quick Bites
411,Dessert Parlor
412,Dessert Parlor
413,Quick Bites
413,Bakery
414,Quick Bites
415,Quick Bites
416,Quick Bites
417,Quick Bites
418,Delivery
419,Quick Bites
420,Takeaway
420,Delivery
421,Quick Bites
422,Takeaway
422,Delivery
423,Beverage Shop
424,Quick Bites
425,Bakery
426,Casual Dining
427,Quick Bites
428,Takeaway
428,Delivery
429,Casual Dining
429,Bar
430,Quick Bites
431,Casual Dining
432,Dessert Parlor
432,Quick Bites
433,Quick Bites
434,Quick Bites
435,Quick Bites
436,Quick Bites
437,Quick Bites
438,Quick Bites
439,Casual Dining
440,Quick Bites
441,Quick Bites
442,Casual Dining
443,Quick Bites
444,Quick Bites
445,Casual Dining
446,Casual Dining
447,Quick Bites
448,Casual Dining
449,Quick Bites
450,Casual Dining
451,Quick Bites
452,Casual Dining
452,Bar
453,Quick Bites
454,Cafe
455,Casual Dining
456,Microbrewery
456,Casual Dining
457,Quick Bites
458,Quick Bites
459,Quick Bites
460,Quick Bites
461,Quick Bites
462,Cafe
463,Quick Bites
464,Casual Dining
465,Quick Bites
466,Quick Bites
467,Casual Dining
468,Casual Dining
469,Quick Bites
470,Delivery
471,Casual Dining
472,Sweet Shop
473,Dessert Parlor
474,Dessert Parlor
475,Sweet Shop
475,Quick Bites
476,Dessert Parlor
477,Beverage Shop
477,Dessert Parlor
